year,month,cpi
1999,2,170.6
1999,4,172.2
1999,6,172.7
1999,8,173.4
1999,10,174.7
1999,12,174.4
2000,2,176.1
2000,4,177.8
2000,6,179.2
2000,8,180.3
2000,10,182.1
2000,12,181.5
2001,2,184.0
2001,4,184.2
2001,6,186.3
2001,8,186.8
2001,10,187.9
2001,12,186.1
2002,2,187.6
2002,4,188.8
2002,6,189.4
2002,8,190.3
2002,10,190.9
2002,12,190.0
2003,2,191.3
2003,4,192.3
2003,6,191.7
2003,8,194.4
2003,10,193.7
2003,12,191.0
2004,2,193.5
2004,4,194.3
2004,6,195.3
2004,8,194.6
2004,10,196.5
2004,12,195.1
2005,2,197.6
2005,4,201.3
2005,6,199.8
2005,8,199.9
2005,10,203.3
2005,12,200.9
2006,2,203.6
2006,4,207.4
2006,6,208.2
2006,8,209.6
2006,10,209.8
2006,12,209.3
2007,2,211.704
2007,4,215.767
2007,6,215.51
2007,8,215.978
2007,10,218.427
2007,12,218.966
2008,2,221.728
2008,4,223.196
2008,6,228.068
2008,8,227.745
2008,10,225.915
2008,12,222.58
2009,2,224.737
2009,4,225.918
2009,6,227.257
2009,8,227.138
2009,10,226.277
2009,12,225.596
2010,2,226.085
2010,4,226.513
2010,6,226.118
2010,8,227.645
2010,10,227.251
2010,12,226.862
2011,2,229.482
2011,4,231.314
2011,6,233.25
2011,8,233.81
2011,10,235.916
2011,12,234.812
2012,2,235.744
2012,4,237.931
2012,6,239.54
2012,8,240.213
2012,10,241.355
2012,12,237.993
2013,2,239.898
2013,4,240.823
2013,6,242.82
2013,8,242.767
2013,10,242.787
2013,12,241.055
2014,2,242.77
2014,4,246.616
2014,6,247.642
2014,8,247.185
2014,10,247.854
2014,12,245.05
2015,2,245.496
2015,4,247.611
2015,6,251.622
2015,8,251.617
2015,10,250.831
2015,12,250.385
2016,2,250.942
2016,4,253.815
2016,6,256.098
2016,8,256.907
2016,10,256.941
2016,12,256.821
2017,2,259.503
2017,4,261.56
2017,6,263.756
2017,8,263.333
2017,10,264.653
2017,12,265.85
2018,2,268.031
2018,4,270.309
2018,6,272.395
2018,8,271.625
2018,10,272.805
2018,12,273.293
2019,2,275.304
2019,4,276.765
2019,6,278.631
2019,8,280.286
2019,10,278.682
2019,12,279.421
2020,2,282.115
2020,4,280.484
2020,6,281.055
2020,8,284.905
2020,10,284.505
2020,12,283.409
2021,2,286.95
2021,4,290.068
2021,6,296.573
2021,8,299.704
2021,10,303.099
2021,12,304.856
2022,2,310.078
2022,4,316.525
2022,6,326.656
2022,8,326.796
2022,10,330.173
2022,12,330.489
2023,2,334.987
2023,4,338.487
2023,6,341.734
2023,8,344.449
2023,10,345.992
2023,12,344.982
2024,2,349.288
2024,4,353.503
2024,6,354.824
2024,8,355.179
2024,10,356.212
2024,12,354.348
2025,2,358.096
2025,4,359.4
2025,6,364.344
2025,8,365.211
2025,12,365.447
2026,2,372.121
2026,4,377.091
